sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
166,229,06,1321.93,915.68,1088.53,1.85
151,379,06,1601.92,1200.5,1275.78,1.94
211,209,05,2053.0,695.1,1941.15,1.4
264,244,04,439.12,341.71,349.23,1.97
256,324,04,1696.87,1048.17,1455.41,1.72
107,133,06,712.65,628.62,546.98,2.06
279,229,05,2383.7,1233.48,2152.48,1.55
264,379,05,1793.09,792.43,1655.64,1.47
15,130,05,1291.85,428.08,1238.31,1.31
300,168,04,767.52,267.91,726.51,1.39
383,7,05,2688.23,1495.02,2341.24,1.68
248,114,05,1278.66,654.62,1165.11,1.51
224,354,05,2746.19,732.55,2652.4,1.3
383,40,06,2441.03,1504.14,2089.21,1.71
288,139,05,3414.48,1854.94,2902.01,1.79
237,224,05,1530.15,722.29,1393.24,1.54
81,25,06,260.8,304.96,167.78,2.51
20,271,04,1889.39,1209.68,1600.76,1.76
13,341,04,816.24,1103.46,636.47,1.71
225,344,05,3441.19,1056.78,3309.59,1.31
385,20,06,2469.95,983.09,2319.78,1.4
107,191,04,2244.95,997.8,2048.64,1.53
380,70,06,2201.89,1221.98,1910.02,1.7
158,176,06,257.72,317.92,184.54,2.03
192,340,06,1761.76,925.07,1610.41,1.48
194,320,06,1330.09,278.62,1302.43,1.23
258,67,05,1877.51,889.29,1695.76,1.56
257,77,05,2193.28,1446.95,1856.18,1.75
256,87,05,1232.92,427.03,1173.03,1.35
166,312,06,3069.45,965.85,2943.18,1.33
161,362,06,2658.06,1467.12,2303.48,1.7
297,376,04,879.19,676.13,754.08,1.66
36,248,04,1805.78,1090.72,1614.66,1.56
26,348,04,1544.68,638.78,1309.04,2.25
108,177,04,460.18,197.69,413.29,1.93
133,288,04,1762.06,1153.01,1489.06,1.76
142,198,04,1679.91,655.29,1572.6,1.43
107,16,06,1954.72,1080.72,1766.38,1.52
198,251,04,1014.54,763.61,827.28,1.8
188,351,04,3609.32,1904.05,3224.32,1.59
15,237,05,3382.47,1564.84,3177.08,1.37
271,86,05,2378.91,1682.93,1919.31,1.91
28,107,05,2716.0,1727.59,2341.7,1.72
5,166,05,1336.7,561.94,1242.7,1.44
3,186,05,75.42,65.24,66.43,1.49
380,367,04,131.02,191.45,92.65,2.05
276,36,05,1430.38,973.43,1212.09,1.71
399,94,06,1541.26,469.24,1483.55,1.31
400,225,04,1498.95,1096.54,1227.48,1.89
27,396,04,365.19,404.38,243.52,2.36
229,172,04,3134.08,1915.37,2655.03,1.79
372,202,05,952.01,728.55,777.91,1.84
371,212,05,1731.13,1163.52,1470.39,1.72
88,192,05,1833.22,1413.31,1406.14,2.05
360,322,05,1700.53,738.7,1529.18,1.65
90,41,04,2958.07,1761.84,2602.73,1.6
158,245,04,1272.09,899.94,1054.84,1.79
287,103,04,1953.48,952.83,1771.52,1.54
271,263,04,2405.62,1108.69,2124.68,1.78
68,392,05,1785.21,1206.2,1553.1,1.61
282,153,04,1468.08,541.05,1380.69,1.41
225,87,05,719.03,218.18,688.69,1.34
264,333,04,2063.56,1229.46,1781.44,1.69
212,258,04,2957.62,1448.65,2632.47,1.63
44,224,05,2700.71,957.27,2583.17,1.32
110,289,05,1858.87,565.58,1784.48,1.32
113,259,05,721.68,335.59,679.73,1.37
110,108,04,1114.92,943.71,924.34,1.75
14,161,05,1217.57,831.41,957.83,3.06
16,141,05,2979.64,1237.39,2746.22,1.5
266,153,05,1749.98,1250.55,1501.77,1.67
256,253,05,1978.68,567.57,1905.66,1.31
243,383,05,1720.43,1084.23,1473.83,1.73
248,333,05,2213.2,1344.37,1902.28,1.71
383,69,04,1473.67,1161.52,1163.03,1.97
133,351,05,1465.89,980.0,1227.59,1.78
153,151,05,1304.92,761.04,1134.92,1.68
15,95,05,1700.38,516.96,1637.58,1.3
141,271,05,1757.03,1038.86,1527.74,1.68
133,27,06,2043.11,1314.83,1711.93,1.81
112,138,05,1531.56,547.54,1447.96,1.39
58,269,04,1928.19,1508.33,1529.54,1.9
56,289,04,609.04,695.53,419.72,2.42
202,90,04,1425.64,872.54,1269.62,1.57
209,20,04,560.18,340.99,445.91,2.33
151,243,05,1899.97,1354.91,1630.72,1.67
256,349,05,1868.6,555.61,1795.57,1.32
258,329,05,344.22,391.71,224.77,2.61
142,333,05,1950.83,1237.19,1649.39,1.77
139,194,05,1173.54,518.39,1071.74,1.53
68,169,04,647.2,692.84,511.84,1.87
271,199,05,3558.32,1771.99,3151.08,1.64
293,57,05,271.07,155.23,246.03,1.58
291,77,05,2231.03,1428.26,1862.82,1.82
202,229,05,1866.92,1218.62,1568.99,1.78
245,65,06,1973.77,1240.88,1680.57,1.73
322,58,04,1218.89,488.89,1143.46,1.48
273,19,04,612.51,378.94,497.94,2.12
