sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
151,379,06,1049.37,737.14,892.31,1.7
258,304,04,1683.04,842.34,1401.71,2.24
211,209,05,2289.35,892.5,2121.78,1.48
264,244,04,373.35,333.54,286.58,1.99
256,324,04,1193.74,414.15,1128.32,1.39
107,133,06,452.23,321.32,379.68,1.77
264,379,05,1292.14,534.54,1209.74,1.41
288,139,05,2596.39,1322.94,2353.15,1.52
279,229,05,2164.96,1015.57,1989.38,1.48
300,168,04,961.81,638.2,821.81,1.7
383,7,05,2375.34,1292.16,2093.82,1.63
248,114,05,1187.17,632.23,1073.02,1.53
383,40,06,1986.04,1349.5,1747.63,1.57
81,25,06,277.35,320.01,145.01,3.66
13,341,04,494.8,168.4,471.95,1.35
20,271,04,1333.82,773.27,1174.9,1.61
237,224,05,1383.65,541.06,1300.03,1.41
380,70,06,1719.29,1077.34,1480.58,1.68
107,191,04,2178.95,1082.27,1956.22,1.57
385,20,06,2561.71,1898.67,2189.08,1.65
158,176,06,212.28,294.43,163.16,1.88
192,340,06,1636.51,862.27,1490.19,1.49
194,320,06,1334.0,534.87,1259.97,1.37
257,77,05,1449.32,1317.54,1164.95,1.83
258,67,05,1571.4,970.85,1393.18,1.57
256,87,05,1281.14,632.16,1180.25,1.45
166,312,06,3122.0,1146.14,2933.68,1.41
161,362,06,2441.56,1237.34,2169.42,1.62
297,376,04,841.1,701.36,708.92,1.72
36,248,04,1598.14,934.35,1421.89,1.57
26,348,04,1409.21,387.07,1258.11,1.9
108,177,04,501.53,229.46,449.44,1.69
142,198,04,1555.98,623.23,1458.1,1.41
133,288,04,1220.71,656.87,1102.71,1.53
107,16,06,1886.93,1082.71,1661.3,1.61
198,251,04,1125.31,868.96,920.04,1.78
188,351,04,2297.16,933.49,2153.57,1.41
28,107,05,2005.88,1170.38,1744.55,1.66
271,86,05,1947.41,1361.57,1572.77,1.92
276,36,05,1134.57,604.36,1012.57,1.58
3,186,05,66.67,42.88,60.32,1.47
5,166,05,1239.4,516.2,1150.71,1.45
380,367,04,127.92,164.55,92.08,1.93
399,94,06,1359.1,488.46,1294.18,1.35
400,225,04,1432.63,1013.31,1229.1,1.67
27,396,04,433.21,430.3,284.99,2.48
229,172,04,2001.65,835.18,1836.71,1.52
360,322,05,1551.8,709.75,1399.24,1.59
372,202,05,725.12,557.21,585.87,1.94
88,192,05,1092.67,663.69,963.08,1.59
68,392,05,1399.44,586.45,1303.3,1.43
158,245,04,1235.45,815.75,1051.44,1.72
371,212,05,1458.29,944.34,1205.26,1.85
271,263,04,1855.86,459.11,1803.92,1.26
287,103,04,1532.38,577.79,1418.65,1.5
225,87,05,727.31,412.43,659.09,1.5
282,153,04,1404.71,462.95,1335.15,1.37
212,258,04,1862.03,957.54,1632.93,1.69
264,333,04,1500.61,729.39,1369.86,1.5
113,259,05,725.38,220.47,701.25,1.27
110,289,05,1669.0,694.45,1543.15,1.47
110,108,04,1027.63,703.25,885.5,1.65
14,161,05,1262.12,626.22,1147.76,1.52
16,141,05,2229.42,1198.5,2017.52,1.52
256,253,05,1744.42,255.37,1726.63,1.15
243,383,05,1110.41,585.85,992.91,1.59
248,333,05,1415.63,1096.07,1243.16,1.55
266,153,05,1309.63,1089.96,1149.48,1.54
383,69,04,1006.24,715.8,834.4,1.8
133,351,05,1032.43,710.11,900.26,1.61
141,271,05,1347.48,839.21,1189.19,1.6
153,151,05,1072.31,635.29,942.55,1.63
133,27,06,1588.02,1045.75,1350.1,1.73
112,138,05,1821.37,1179.0,1643.02,1.49
68,169,04,709.79,610.16,574.27,1.83
65,199,04,1502.6,625.56,1392.81,1.47
56,289,04,592.52,543.2,401.82,2.91
209,20,04,711.93,554.79,533.85,2.37
142,333,05,1410.29,1086.17,1163.69,1.97
151,243,05,1702.46,1022.65,1462.44,1.71
258,329,05,255.21,290.87,183.37,2.24
139,194,05,1010.09,470.41,924.61,1.51
58,269,04,1634.25,819.2,1440.71,1.66
271,199,05,2959.46,1274.61,2700.49,1.54
202,90,04,1112.51,483.33,1035.15,1.44
293,57,05,269.72,177.62,228.05,2.0
291,77,05,1530.37,1035.8,1298.05,1.72
202,229,05,1264.44,811.26,1104.79,1.7
245,65,06,1427.77,620.89,1315.47,1.49
322,58,04,1192.47,590.6,1088.85,1.51
273,19,04,738.08,242.57,701.47,1.37
242,95,06,1536.33,952.5,1334.24,1.65
64,26,06,2070.93,1150.52,1848.65,1.57
271,39,04,2049.81,741.19,1937.43,1.38
28,52,06,310.66,303.65,204.69,2.72
388,81,04,568.48,512.6,440.92,1.91
272,29,04,1832.92,986.83,1617.55,1.62
256,349,05,1829.23,796.66,1723.69,1.36
148,299,05,181.32,32.13,178.65,1.19
345,49,04,860.5,179.73,841.49,1.24
124,96,06,1086.53,526.89,991.56,1.5
340,54,06,1094.57,491.22,1018.5,1.42
344,14,06,1114.81,438.94,1050.75,1.39
71,41,05,352.63,251.05,314.98,1.47
70,51,05,1291.32,681.45,1176.55,1.5
